id,item_num,key_field,qty,name,category,serial_no,turnover_ytd,turnover_ltd,repair_cost_ytd,sell_price,current_store,inactive,pos_store_code,rfid_rental_class_num
66201,64683.0,,0,"GLOVES, NAVY FLEECE, LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,11.95,2.0,0,,
66202,64685.0,,0,"BUNGEE, 24"", ADJUSTABLE","Sales, Merchandise Equip.",,0.0,0.0,0.0,1.95,0.0,0,,
66203,64686.0,,0,"BUNGEE, 24"", ADJUSTABLE","Sales, Merchandise Equip.",,0.0,0.0,0.0,1.95,2.0,0,,
66204,64688.0,,0,"RATCHET STRAP, 10' 300 LB.","Sales, Merchandise Equip.",,0.0,0.0,0.0,4.0,0.0,0,,
66205,64689.0,,0,"RATCHET STRAP, 10' 300 LB.","Sales, Merchandise Equip.",,0.0,0.0,0.0,4.0,2.0,0,,
66206,64691.0,,0,"BUNGEE, 36"" 2-PACK","Sales, Merchandise Equip.",,0.0,0.0,0.0,3.65,0.0,0,,
66207,64692.0,,0,"BUNGEE, 36"" 2-PACK","Sales, Merchandise Equip.",,0.0,0.0,0.0,3.65,2.0,0,,
66208,64694.0,,0,"TOW STRAP, 20' 5667 LBS.","Sales, Merchandise Equip.",,0.0,0.0,0.0,18.95,0.0,0,,
66209,64695.0,,0,"TOW STRAP, 20' 5667 LBS.","Sales, Merchandise Equip.",,0.0,0.0,0.0,18.95,2.0,0,,
66210,64697.0,,0,"GLOVES, BLACK LINED JERSEY,LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,3.95,0.0,0,,
66211,64698.0,,0,"GLOVES, BLACK LINED JERSEY,LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,3.95,2.0,0,,
66212,64700.0,,0,"GLOVES, GRAY SPLIT LEATHER,LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,8.95,0.0,0,,
66213,64701.0,,0,"GLOVES, GRAY SPLIT LEATHER,LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,8.95,2.0,0,,
66214,64703.0,,0,"GLOVES, BLACK JERSEY DOTTED,LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,7.95,0.0,0,,
66215,64704.0,,0,"GLOVES, BLACK JERSEY DOTTED,LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,7.95,2.0,0,,
66216,64706.0,,0,"GLOVES, COTTON LATEX PALM, JUMBO","Sales, Merchandise Equip.",,0.0,0.0,0.0,4.95,0.0,0,,
66217,64707.0,,0,"GLOVES, COTTON LATEX PALM, JUMBO","Sales, Merchandise Equip.",,0.0,0.0,0.0,4.95,2.0,0,,
66218,64709.0,,0,RECHARGEABLE POCKET LIGHT-PINK,"Sales, Merchandise Equip.",,0.0,0.0,0.0,22.95,0.0,0,,
66219,64710.0,,0,RECHARGEABLE POCKET LIGHT-PINK,"Sales, Merchandise Equip.",,0.0,0.0,0.0,22.95,2.0,0,,
66220,64712.0,,0,USED LINEN TABLECLOTHS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,10.0,0.0,0,,
66221,64713.0,,0,USED LINEN TABLECLOTHS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,10.0,2.0,0,,
66222,64715.0,,0,WORKBRITE LED WORK LIGHT,"Sales, Merchandise Equip.",,0.0,0.0,0.0,16.95,0.0,0,,
66223,64716.0,,0,WORKBRITE LED WORK LIGHT,"Sales, Merchandise Equip.",,0.0,0.0,0.0,16.95,2.0,0,,
66224,64718.0,,0,INSPECTOR POCKET LIGHT,"Sales, Merchandise Equip.",,0.0,0.0,0.0,14.95,0.0,0,,
66225,64719.0,,0,INSPECTOR POCKET LIGHT,"Sales, Merchandise Equip.",,0.0,0.0,0.0,14.95,2.0,0,,
66226,64721.0,,0,LUCY 2 WORKLIGHT-PINK,"Sales, Merchandise Equip.",,0.0,0.0,0.0,11.95,0.0,0,,
66227,64722.0,,0,LUCY 2 WORKLIGHT-PINK,"Sales, Merchandise Equip.",,0.0,0.0,0.0,11.95,2.0,0,,
66228,64723.0,,0,"4-PK RATCHET STRAPS,1000LBS, ORAN","Sales, Merchandise Equip.",,0.0,0.0,0.0,21.95,0.0,0,,
